Time,Time Code,Country Name,Country Code,"Electricity production from renewable sources, excluding hydroelectric (kWh) [EG.ELC.RNWX.KH]",Access to electricity (% of population) [EG.ELC.ACCS.ZS],"Access to electricity, rural (% of rural population) [EG.ELC.ACCS.RU.ZS]","Access to electricity, urban (% of urban population) [EG.ELC.ACCS.UR.ZS]",Electricity production from coal sources (% of total) [EG.ELC.COAL.ZS],Electricity production from hydroelectric sources (% of total) [EG.ELC.HYRO.ZS],Electricity production from natural gas sources (% of total) [EG.ELC.NGAS.ZS],Electricity production from nuclear sources (% of total) [EG.ELC.NUCL.ZS],Electricity production from oil sources (% of total) [EG.ELC.PETR.ZS],"Electricity production from oil, gas and coal sources (% of total) [EG.ELC.FOSL.ZS]","Electricity production from renewable sources, excluding hydroelectric (% of total) [EG.ELC.RNWX.ZS]",Renewable electricity output (% of total electricity output) [EG.ELC.RNEW.ZS],Time required to get electricity (days) [IC.ELC.TIME]
1996,YR1996,Cote d'Ivoire,CIV,0,43.3698501586914,19.5002632141113,76.8970098502256,0,54.6961325966851,36.34131368938,0,8.96255371393493,45.3038674033149,0,54.6961325966851,..
1996,YR1996,Croatia,HRV,9000000,..,100,99.5005569458008,1.0740177212924,70.3750111876846,11.7157433097646,0,16.7546764521615,29.5444374832185,0.0805513290969301,70.4555625167815,..
1996,YR1996,Cuba,CUB,922000000,94.9548187255859,..,..,0,0.717739498337866,0.0755515261408281,0,70.2024780900574,70.2780296161982,6.96585071018435,7.68359020852221,..
1996,YR1996,Curacao,CUW,..,100,100,100,..,..,..,..,..,..,..,0.784313725490196,..
1996,YR1996,Cyprus,CYP,0,100,100,100,0,0,0,0,100,100,0,0,..
1996,YR1996,Czech Republic,CZE,292000000,100,100,79.0404815673828,73.5565548469987,3.08509471507137,1.62323927110916,20.1338075615374,1.14378828948812,76.323582407596,0.457515315795246,3.54261003086662,..
1996,YR1996,Denmark,DNK,2060000000,100,100,100,74.0267253928558,0.0354596692919264,10.5987085215184,0,3.28095255869508,87.9063864730693,3.84457467059834,3.88003433989026,..
1996,YR1996,Djibouti,DJI,..,62,88.4356845097173,53.8100166320801,..,..,..,..,..,..,..,0,..
1996,YR1996,Dominica,DMA,..,..,..,..,..,..,..,..,..,..,..,60,..
1996,YR1996,Dominican Republic,DOM,40000000,85.265510559082,69.8632061315061,96.2185134887695,3.94557823129252,13.0461073318216,0,0,82.4036281179138,86.3492063492064,0.604686318972033,13.6507936507937,..
1996,YR1996,Ecuador,ECU,0,91.9264602661133,81.9875054639525,99.0421829223633,0,67.9229122055675,0,0,32.0770877944325,32.0770877944325,0,67.9229122055675,..
1996,YR1996,"Egypt, Arab Rep.",EGY,0,96.1532516479492,93.8161950981129,99.2918319702148,0,20.955749002539,58.708741385564,0,20.335509611897,79.044250997461,0,20.955749002539,..
1996,YR1996,El Salvador,SLV,431000000,77.883,56.445961175618,95.233394,0,55.7430432208407,0,0,31.49792776791,31.49792776791,12.7590290112493,68.50207223209,..
1996,YR1996,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,22.5806451612903,..
1996,YR1996,Eritrea,ERI,0,24.7169399261475,7.98139873675087,79.8293914794922,0,0,0,0,100,100,0,0,..
1996,YR1996,Estonia,EST,5000000,100,100,100,0.384488630121938,0.0219707788641107,3.22970449302428,0,1.09853894320554,4.71273206635175,0.0549269471602768,0.0768977260243876,..
1996,YR1996,Eswatini,SWZ,..,..,..,..,..,..,..,..,..,..,..,49.4117647058824,..
1996,YR1996,Ethiopia,ETH,0,..,..,..,0,94.1983780411728,0,0,5.8016219588272,5.8016219588272,0,94.1983780411728,..
1996,YR1996,Faroe Islands,FRO,..,100,100,100,..,..,..,..,..,..,..,39.010989010989,..
1996,YR1996,Fiji,FJI,..,66.9,47.0439086198773,89.9462585449219,..,..,..,..,..,..,..,61.7697123519459,..
1996,YR1996,Finland,FIN,5901000000,100,100,100,22.3602842604471,17.0959883528174,12.2699032764909,28.0743228633618,1.90564052297003,36.535828059908,8.50619116947516,25.6021795222925,..
1996,YR1996,France,FRA,2431000000,100,100,100,6.08178175818996,12.9711681986016,0.809568701390526,78.0383376541755,1.5299709325163,8.42132139209679,0.477453059941865,13.4486212585435,..
1996,YR1996,French Polynesia,PYF,..,100,100,100,..,..,..,..,..,..,..,35.2238805970149,..
1996,YR1996,Gabon,GAB,7000000,..,..,..,0,63.4266886326194,20.0164744645799,0,15.9802306425041,35.996705107084,0.57660626029654,64.003294892916,..
